name,project_name,cve_discoverability,signature_density,extrinsic_cvss_max,exploitable,weakness_density,community_rating,signature_percentage,weakness_percentage
openssl-OpenSSL_0_9_8f,OpenSSL,TRUE,0.004737806,100,TRUE,8.620689655,88.0478,30.95238095,14.28571429
openssl-OpenSSL_0_9_8h,OpenSSL,TRUE,0.004641481,100,TRUE,8.534621578,88.0478,30.95238095,14.28571429
openssl-OpenSSL_0_9_8m,OpenSSL,TRUE,0.004622305,93,TRUE,8.370702541,88.0478,33.33333333,14.28571429
openssl-OpenSSL_0_9_8n,OpenSSL,TRUE,0.004621618,93,FALSE,8.370702541,88.0478,33.33333333,14.28571429
openssl-OpenSSL_0_9_8u,OpenSSL,TRUE,0.004611726,75,FALSE,8.370702541,88.0478,33.33333333,14.28571429
openssl-OpenSSL_0_9_8w,OpenSSL,TRUE,0.004611471,68,FALSE,8.370702541,88.0478,33.33333333,14.28571429
openssl-OpenSSL_0_9_8x,OpenSSL,TRUE,0.004611471,68,FALSE,8.370702541,88.0478,33.33333333,14.28571429
openssl-OpenSSL_0_9_8y,OpenSSL,TRUE,0.004605363,68,FALSE,8.364451083,88.0478,33.33333333,14.28571429
openssl-OpenSSL_0_9_8za,OpenSSL,TRUE,0.004600031,50,FALSE,8.364451083,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_0-beta5,OpenSSL,TRUE,0.004332989,75,FALSE,8.798283262,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_0h,OpenSSL,TRUE,0.004320841,75,FALSE,8.857142857,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_0i,OpenSSL,TRUE,0.004320348,75,FALSE,8.857142857,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_0j,OpenSSL,TRUE,0.004320348,75,FALSE,8.857142857,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_0k,OpenSSL,TRUE,0.00431535,75,FALSE,8.850820842,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_0m,OpenSSL,TRUE,0.004310451,75,FALSE,8.850820842,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1a,OpenSSL,TRUE,0.00393569,100,TRUE,9.318028359,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1b,OpenSSL,TRUE,0.003935585,100,TRUE,9.318028359,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1c,OpenSSL,TRUE,0.003935522,100,TRUE,9.318028359,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1d,OpenSSL,TRUE,0.003929611,100,TRUE,9.305461902,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1e,OpenSSL,TRUE,0.003928789,100,TRUE,9.305461902,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1f,OpenSSL,TRUE,0.003925201,100,TRUE,9.305461902,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1g,OpenSSL,TRUE,0.003923104,100,FALSE,9.305461902,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1i,OpenSSL,TRUE,0.003892402,100,FALSE,8.78746594,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1j,OpenSSL,TRUE,0.003890464,100,FALSE,8.775510204,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_1k,OpenSSL,TRUE,0.003910989,100,FALSE,8.775510204,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_2,OpenSSL,TRUE,0.003453121,100,TRUE,8.453473132,88.0478,33.33333333,14.28571429
openssl-OpenSSL_1_0_2-beta1,OpenSSL,TRUE,0.003607656,100,TRUE,9.05511811,88.0478,33.33333333,14.28571429
openssl-OpenSSL-fips-2_0_1,OpenSSL,FALSE,0.003957228,10,FALSE,8.545918367,88.0478,33.33333333,14.28571429
openssl-OpenSSL-fips-2_0_4,OpenSSL,FALSE,0.003957058,10,FALSE,8.545918367,88.0478,33.33333333,14.28571429
openssl-OpenSSL-fips-2_0_5,OpenSSL,FALSE,0.003957008,10,FALSE,8.545918367,88.0478,33.33333333,14.28571429
openssl-OpenSSL-fips-2_0_6,OpenSSL,FALSE,0.003973194,10,FALSE,8.551372049,88.0478,33.33333333,14.28571429
openssl-OpenSSL-fips-2_0_8,OpenSSL,FALSE,0.003973154,10,FALSE,8.551372049,88.0478,33.33333333,14.28571429
openssl-OpenSSL-fips-2_0-pl1,OpenSSL,FALSE,0.003956998,10,FALSE,8.545918367,88.0478,33.33333333,14.28571429
