name,project_name,cve_discoverability,signature_density,extrinsic_cvss_max,exploitable,weakness_density,community_rating,signature_percentage,weakness_percentage
cryptopp-CRYPTOPP_5_0,Crypto++,FALSE,0.005044027,50,FALSE,2.586206897,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_5_2,Crypto++,FALSE,0.004625113,10,FALSE,2.734375,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_0,Crypto++,FALSE,0.004563731,10,FALSE,2.602230483,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_1,Crypto++,FALSE,0.004514332,10,FALSE,2.602230483,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_2,Crypto++,FALSE,0.004527684,50,FALSE,2.58302583,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_4,Crypto++,FALSE,0.003717897,10,FALSE,2.389078498,92,7.142857143,7.142857143
libdash-2.0,libdash,FALSE,0.009252841,10,FALSE,3.583061889,100,7.142857143,10.71428571
libdash-2.1,libdash,FALSE,0.009898775,10,FALSE,3.107344633,100,7.142857143,10.71428571
libdash-2.2,libdash,FALSE,0.010253527,10,FALSE,2.872062663,100,7.142857143,10.71428571
lighttpd1.4-lighttpd-1.4.24,lighttpd,FALSE,0.004794726,10,FALSE,15.38461538,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.27,lighttpd,FALSE,0.004902073,10,FALSE,14.95327103,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.30,lighttpd,FALSE,0.004857344,10,FALSE,14.95327103,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.33,lighttpd,FALSE,0.004874746,10,FALSE,15.74074074,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.34,lighttpd,FALSE,0.004859152,10,FALSE,15.66820276,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.38,lighttpd,FALSE,0.004917744,10,FALSE,15.24663677,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.40,lighttpd,FALSE,0.00473914,10,FALSE,18.34061135,20,33.33333333,14.28571429
lighttpd1.4-lighttpd-1.4.41,lighttpd,FALSE,0.004735808,10,FALSE,18.77729258,20,33.33333333,14.28571429
