name,project_name,cve_discoverability,signature_density,extrinsic_cvss_max,exploitable,weakness_density,community_rating,signature_percentage,weakness_percentage
cryptopp-CRYPTOPP_5_0,Crypto++,FALSE,0.005044027,50,FALSE,2.586206897,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_5_2,Crypto++,FALSE,0.004625113,10,FALSE,2.734375,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_0,Crypto++,FALSE,0.004563731,10,FALSE,2.602230483,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_1,Crypto++,FALSE,0.004514332,10,FALSE,2.602230483,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_2,Crypto++,FALSE,0.004527684,50,FALSE,2.58302583,92,7.142857143,7.142857143
cryptopp-CRYPTOPP_5_6_4,Crypto++,FALSE,0.003717897,10,FALSE,2.389078498,92,7.142857143,7.142857143
