name,project_name,cve_discoverability,signature_density,extrinsic_cvss_max,exploitable,weakness_density,community_rating,signature_percentage,weakness_percentage
vlc-0.8.4,VLC media player,TRUE,0.00372255,93,TRUE,17.5059952,88.2012,52.38095238,14.28571429
vlc-0.9.0-test1,VLC media player,FALSE,0.00508314,10,FALSE,12.04866562,88.2012,64.28571429,14.28571429
vlc-1.0.0-pre1,VLC media player,FALSE,0.005124164,10,FALSE,10.9469697,88.2012,66.66666667,14.28571429
vlc-1.1.0-ff,VLC media player,FALSE,0.005178955,10,FALSE,11.29160063,88.2012,59.52380952,14.28571429
vlc-1.1.0-pre1,VLC media player,FALSE,0.005182567,10,FALSE,10.9399684,88.2012,59.52380952,14.28571429
vlc-1.3.0-git,VLC media player,FALSE,0.005353319,10,FALSE,11.24542125,88.2012,64.28571429,14.28571429
vlc-2.1.0-git,VLC media player,FALSE,0.004129171,43,FALSE,13.49902534,88.2012,69.04761905,14.28571429
vlc-2.2.0-git,VLC media player,FALSE,0.004067234,10,FALSE,15.11132165,88.2012,66.66666667,14.28571429
